teacher_id,competence_id,ref_month,date_t,current_level,required_level,gap_next_3m,source_type,source_id,is_synthetic,dataset_version,created_at,department_id,unit_id
ENS_T03,8,2016-03-01,2016-03-01,4,5,,postgresql_d2f,407,False,v1.2.0,2016-03-01,DEPT_INF2,UP_INF2
ENS_T03,11,2019-06-01,2019-06-01,3,2,,postgresql_d2f,409,False,v1.2.0,2019-06-01,DEPT_INF2,UP_INF2
ENS042,4,2021-01-25,2021-01-25,3,5,,postgresql_d2f,389,False,v1.2.0,2021-01-25,DEPT_IA,UP_IA
ENS042,1,2021-03-22,2021-03-22,4,5,,postgresql_d2f,382,False,v1.2.0,2021-03-22,DEPT_IA,UP_IA
ENS042,2,2022-02-08,2022-02-08,4,5,,postgresql_d2f,385,False,v1.2.0,2022-02-08,DEPT_IA,UP_IA
ENS_T02,6,2022-06-01,2022-06-01,2,5,,postgresql_d2f,402,False,v1.2.0,2022-06-01,DEPT_IA,UP_IA
ENS039,3,2022-06-25,2022-06-25,3,5,,postgresql_d2f,365,False,v1.2.0,2022-06-25,DEPT_GL,UP_GL
ENS042,3,2022-09-30,2022-09-30,2,5,,postgresql_d2f,387,False,v1.2.0,2022-09-30,DEPT_IA,UP_IA
ENS042,6,2022-10-11,2022-10-11,3,5,,postgresql_d2f,391,False,v1.2.0,2022-10-11,DEPT_IA,UP_IA
ENS_T02,7,2023-01-01,2023-01-01,2,2,,postgresql_d2f,403,False,v1.2.0,2023-01-01,DEPT_IA,UP_IA
ENS041,6,2023-03-27,2023-03-27,2,5,,postgresql_d2f,376,False,v1.2.0,2023-03-27,DEPT_IA,UP_IA
ENS_GC1,15,2023-06-01,2023-06-01,2,4,,postgresql_d2f,413,False,v1.2.0,2023-06-01,DEPT_GC,UP_GC
ENS042,8,2023-06-12,2023-06-12,2,5,,postgresql_d2f,393,False,v1.2.0,2023-06-12,DEPT_IA,UP_IA
ENS039,1,2023-07-07,2023-07-07,3,5,,postgresql_d2f,364,False,v1.2.0,2023-07-07,DEPT_GL,UP_GL
ENS037,1,2023-08-22,2023-08-22,2,5,,postgresql_d2f,348,False,v1.2.0,2023-08-22,DEPT_INF2,UP_INF2
ENS_T02,9,2023-09-01,2023-09-01,3,3,,postgresql_d2f,405,False,v1.2.0,2023-09-01,DEPT_IA,UP_IA
ENS037,3,2023-09-12,2023-09-12,3,5,,postgresql_d2f,350,False,v1.2.0,2023-09-12,DEPT_INF2,UP_INF2
ENS040,4,2023-11-28,2023-11-28,2,5,,postgresql_d2f,370,False,v1.2.0,2023-11-28,DEPT_RT,UP_RT
ENS003,4,2023-12-01,2023-12-01,3,5,,postgresql_d2f,11,False,v1.2.0,2023-12-01,DEPT_INFO,UP_INFO
ENS004,1,2024-01-01,2024-01-01,3,5,,postgresql_d2f,13,False,v1.2.0,2024-01-01,DEPT_GL,UP_GL
ENS004,8,2024-01-01,2024-01-01,3,5,,postgresql_d2f,14,False,v1.2.0,2024-01-01,DEPT_GL,UP_GL
ENS_T01,1,2024-01-01,2024-01-01,2,5,,postgresql_d2f,397,False,v1.2.0,2024-01-01,DEPT_GL,UP_GL
ENS_GC1,13,2024-01-15,2024-01-15,1,4,,postgresql_d2f,411,False,v1.2.0,2024-01-15,DEPT_GC,UP_GC
ENS_T01,2,2024-02-01,2024-02-01,1,5,,postgresql_d2f,398,False,v1.2.0,2024-02-01,DEPT_GL,UP_GL
ENS005,2,2024-03-01,2024-03-01,3,5,,postgresql_d2f,17,False,v1.2.0,2024-03-01,DEPT_INFO,UP_INFO
ENS038,1,2024-04-17,2024-04-17,1,5,,postgresql_d2f,356,False,v1.2.0,2024-04-17,DEPT_INF2,UP_INF2
ENS_T01,3,2024-05-01,2024-05-01,2,5,,postgresql_d2f,399,False,v1.2.0,2024-05-01,DEPT_GL,UP_GL
ENS041,7,2024-05-16,2024-05-16,2,2,,postgresql_d2f,377,False,v1.2.0,2024-05-16,DEPT_IA,UP_IA
ENS001,1,2024-06-01,2024-06-01,3,5,,postgresql_d2f,3,False,v1.2.0,2024-06-01,DEPT_RT,UP_RT
ENS003,3,2024-06-01,2024-06-01,2,5,,postgresql_d2f,12,False,v1.2.0,2024-06-01,DEPT_INFO,UP_INFO
ENS040,5,2024-06-05,2024-06-05,3,3,,postgresql_d2f,371,False,v1.2.0,2024-06-05,DEPT_RT,UP_RT
ENS036,8,2024-06-30,2024-06-30,2,5,,postgresql_d2f,344,False,v1.2.0,2024-06-30,DEPT_TECH_WEB,UP_TECH_WEB
ENS037,5,2024-07-19,2024-07-19,2,3,,postgresql_d2f,351,False,v1.2.0,2024-07-19,DEPT_INF2,UP_INF2
ENS038,10,2024-08-30,2024-08-30,2,3,,postgresql_d2f,358,False,v1.2.0,2024-08-30,DEPT_INF2,UP_INF2
ENS002,2,2024-09-01,2024-09-01,3,5,,postgresql_d2f,7,False,v1.2.0,2024-09-01,DEPT_GL,UP_GL
ENS001,3,2025-01-01,2025-01-01,2,5,,postgresql_d2f,5,False,v1.2.0,2025-01-01,DEPT_RT,UP_RT
ENS005,1,2025-01-01,2025-01-01,3,5,,postgresql_d2f,18,False,v1.2.0,2025-01-01,DEPT_INFO,UP_INFO
