teacher_id,risk_score,risk_level,avg_gap,n_critical_gaps,n_active_alerts
ENS001,0.53,ELEVE,2.0,0,4
ENS002,0.58,ELEVE,1.0,0,4
ENS003,0.76,CRITIQUE,3.0,1,4
ENS004,0.625,ELEVE,2.5,1,1
ENS005,0.6,ELEVE,3.0,1,1
ENS006,0.6,ELEVE,3.0,2,1
ENS007,0.65,ELEVE,2.0,1,1
ENS008,0.2,FAIBLE,1.0,0,0
ENS009,0.225,FAIBLE,0.5,0,0
ENS010,0.25,MODERE,0.0,0,0
ENS011,0.25,MODERE,0.0,0,0
ENS012,0.25,MODERE,0.0,0,0
ENS013,0.175,FAIBLE,1.5,0,0
ENS014,0.25,MODERE,0.0,0,0
ENS015,0.5,ELEVE,3.0,1,0
ENS016,0.2,FAIBLE,1.0,0,0
ENS017,0.2,FAIBLE,1.0,0,0
ENS018,0.225,FAIBLE,0.5,0,0
ENS019,0.225,FAIBLE,0.5,0,0
ENS020,0.5,ELEVE,3.0,1,0
ENS021,0.2,FAIBLE,1.0,0,0
ENS022,0.55,ELEVE,2.0,1,0
ENS023,0.175,FAIBLE,1.5,0,0
ENS024,0.1667,FAIBLE,1.67,0,0
ENS025,0.2,FAIBLE,1.0,0,0
ENS026,0.25,MODERE,0.0,0,0
ENS027,0.55,ELEVE,2.0,1,0
ENS028,0.25,MODERE,0.0,0,0
ENS029,0.5,ELEVE,3.0,1,0
ENS030,0.1667,FAIBLE,1.67,0,0
