teacher_id,competence_code,competence_nom,domaine,current_level_t3,current_level_t2,current_level_t1,current_level_t,gap_next_3m,lag_gap_t3_t2,lag_gap_t2_t1,lag_gap_t1_t,rolling_tendance,days_since_last_training,training_frequency_per_month,is_long_absent,is_stagnant,avg_level,min_level,max_level,nb_level_5,nb_level_1,nb_savoirs,nb_competences,competency_coverage_rate,nb_formations_completed,nb_formations_in_progress,taux_assiduite,nb_besoins_exprimes,nb_besoins_approuves,avg_eval_score,nb_evaluations,months_since_last_training,engagement_score
ENS028,GC_STRU,Structure Batiment,GC,3,1,1,3,2,-2,0,2,0.0,144,0.08,0,0,2.0,1,3,0,2,3,1,1.0,5,0,0.77,0,0,2.69,2,4,22.23
ENS004,WEB_F,Developpement Web Front,WEB,3,3,1,3,1,0,-2,2,0.0,362,0.42,1,0,2.5,1,3,0,1,3,2,0.5,1,3,0.77,0,0,3.9,3,12,18.15
ENS015,WEB_B,Developpement Web Back,WEB,4,3,3,4,0,-1,0,1,0.0,224,0.0,1,0,3.5,3,4,0,0,2,2,0.5,4,2,0.86,3,2,2.75,4,7,26.8
ENS017,GC_STRU,Structure Batiment,GC,3,5,4,5,1,2,-1,1,0.67,325,0.08,1,0,4.25,3,5,2,0,3,1,1.0,0,1,0.85,0,0,4.23,4,10,18.71
ENS011,GC_STRU,Structure Batiment,GC,2,2,3,2,2,0,1,-1,0.0,211,0.08,1,0,2.25,2,3,0,0,3,2,0.5,5,0,0.77,1,2,3.96,2,7,25.77
ENS016,SEC,Securite Informatique,RT,3,3,3,4,1,0,0,1,0.33,196,0.0,1,0,3.25,3,4,0,0,1,1,1.0,2,3,0.62,1,2,4.25,3,6,21.1
ENS014,GC_STRU,Structure Batiment,GC,2,4,3,3,2,2,-1,0,0.33,103,0.17,0,0,3.0,2,4,0,0,1,1,1.0,5,2,0.84,3,2,3.3,2,3,26.8
ENS010,GC_STRU,Structure Batiment,GC,2,4,3,2,1,2,-1,-1,0.0,108,0.42,0,0,2.75,2,4,0,0,1,3,0.67,3,0,0.67,4,1,3.56,1,3,21.97
ENS015,WEB_B,Developpement Web Back,WEB,3,3,1,3,4,0,-2,2,0.0,358,0.17,1,0,2.5,1,3,0,1,1,2,0.5,3,1,0.7,2,2,4.02,1,11,21.04
ENS004,WEB_F,Developpement Web Front,WEB,4,3,4,4,2,-1,1,0,0.0,221,0.08,1,0,3.75,3,4,0,0,3,3,0.67,0,2,0.72,0,1,4.26,3,7,16.62
ENS016,PROG,Programmation,GL,2,2,2,4,2,0,0,2,0.67,278,0.0,1,0,2.5,2,4,0,0,3,1,1.0,1,3,0.93,1,1,3.56,4,9,20.77
ENS016,RESEAU,Reseaux,RT,1,3,3,3,2,2,0,0,0.67,189,0.25,1,0,2.5,1,3,0,1,3,3,0.67,2,3,0.9,3,0,3.0,1,6,19.0
ENS007,ALG,Algorithmique,GL,2,1,3,3,1,-1,2,0,0.33,142,0.0,0,0,2.25,1,3,0,1,1,3,0.67,5,0,0.6,0,1,2.64,2,4,21.28
ENS020,WEB_F,Developpement Web Front,WEB,2,3,2,1,3,1,-1,-1,-0.33,154,0.25,0,0,2.0,1,3,0,1,2,1,1.0,0,0,0.8,2,1,3.32,1,5,14.14
ENS007,ALG,Algorithmique,GL,3,3,3,1,1,0,0,-2,-0.67,203,0.0,1,1,2.5,1,3,0,1,1,1,1.0,1,3,0.56,1,1,3.43,1,6,14.16
ENS028,WEB_B,Developpement Web Back,WEB,4,5,3,3,1,1,-2,0,-0.33,77,0.08,0,0,3.75,3,5,1,0,1,2,0.5,3,3,0.6,3,0,2.83,1,2,19.16
ENS009,RESEAU,Reseaux,RT,2,2,2,2,4,0,0,0,0.0,109,0.08,0,0,2.0,2,2,0,0,2,1,1.0,0,0,0.84,0,0,3.67,2,3,14.54
ENS030,WEB_B,Developpement Web Back,WEB,3,5,3,3,0,2,-2,0,0.0,64,0.42,0,0,3.5,3,5,1,0,1,2,0.5,0,1,0.76,0,2,2.66,3,2,13.62
ENS028,GC_MAT,Matériaux,GC,3,2,4,4,1,-1,2,0,0.33,165,0.25,0,0,3.25,2,4,0,0,1,3,0.67,5,2,0.71,0,0,3.42,1,5,21.89
ENS022,PROG,Programmation,GL,3,5,3,5,0,2,-2,2,0.67,208,0.0,1,0,4.0,3,5,2,0,1,2,0.5,2,1,0.7,4,2,3.11,1,6,19.22
ENS001,GC_STRU,Structure Batiment,GC,5,5,4,5,0,0,-1,1,0.0,98,0.17,0,0,4.75,4,5,3,0,1,1,1.0,5,1,0.62,4,0,3.94,2,3,27.98
ENS001,PROG,Programmation,GL,5,5,4,5,1,0,-1,1,0.0,77,0.42,0,0,4.75,4,5,3,0,2,2,0.5,0,0,0.65,1,2,4.46,2,2,16.17
