teacher_id,competence_id,competence_code,date_t,current_level_t3,current_level_t2,current_level_t1,current_level_t,lag_gap_t3_t2,lag_gap_t2_t1,lag_gap_t1_t,rolling_tendance,days_since_last_training,training_frequency_per_month,is_long_absent,is_stagnant,avg_level,min_level,max_level,nb_level_5,nb_level_1,nb_savoirs,nb_competences,competency_coverage_rate,nb_formations_completed,nb_formations_in_progress,taux_assiduite,nb_besoins_exprimes,nb_besoins_approuves,avg_eval_score,nb_evaluations,months_since_last_training,engagement_score,gap_next_3m
ENS_T03,8,C8,2016-03-01,5,5,5,4,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,4.5,4.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.3333333333333335
ENS_T03,11,C11,2019-06-01,4,4,4,3,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.0
ENS042,4,C4,2021-01-25,3,3,3,3,0,0,0,0.0,365.0,0.0,1,0,3.0,3.0,3.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.0
ENS042,1,C1,2021-03-22,3,3,3,4,0,0,1,0.3333333333333333,365.0,0.0,1,0,3.3333333333333335,3.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.666666666666667
ENS042,2,C2,2022-02-08,3,3,3,4,0,0,1,0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.666666666666667
ENS_T02,6,C6,2022-06-01,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.6666666666666665,2.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.333333333333333
ENS042,3,C3,2022-09-30,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.333333333333333
ENS042,6,C6,2022-10-11,4,4,4,3,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.3333333333333335
ENS041,6,C6,2023-03-27,3,3,3,2,0,0,-1,-0.3333333333333333,7.0,1.0,0,0,2.6666666666666665,2.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22996057818659657,2.0,3.333333333333333
ENS_GC1,15,C15,2023-06-01,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.333333333333333
ENS042,8,C8,2023-06-12,2,2,2,2,0,0,0,0.0,365.0,0.0,1,0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0
ENS039,1,C1,2023-07-07,3,3,4,3,0,1,-1,0.0,212.0,0.14358490566037738,1,0,3.2,3.0,4.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.964520367936925,2.0,2.0
ENS037,1,C1,2023-08-22,3,3,3,2,0,0,-1,-0.3333333333333333,6.0,1.0,0,0,2.5,2.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19710906701708278,2.0,3.333333333333333
ENS_T02,9,C9,2023-09-01,4,4,4,3,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.3333333333333335
ENS037,3,C3,2023-09-12,3,3,3,3,0,0,0,0.0,6.0,1.0,0,0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19710906701708278,2.0,2.0
ENS040,4,C4,2023-11-28,3,3,2,2,0,-1,0,-0.3333333333333333,140.0,0.21742857142857142,0,0,2.3333333333333335,2.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599211563731932,2.0,3.333333333333333
ENS003,4,C4,2023-12-01,3,3,4,3,0,1,-1,0.0,5.0,2.0,0,0,3.3333333333333335,3.0,4.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.9411764705882353,0.0,0.0,3.0,2.0,0.164257555847569,17.705882352941178,2.0
ENS_T01,1,C1,2024-01-01,1,1,2,2,0,1,0,0.3333333333333333,365.0,0.0,1,0,1.5,1.0,2.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.6666666666666665
ENS004,8,C8,2024-01-01,4,4,4,3,0,0,-1,-0.3333333333333333,1.0,3.0,0,0,3.5,3.0,4.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.9285714285714286,0.0,0.0,3.0,1.0,0.0328515111695138,18.142857142857142,2.3333333333333335
ENS_GC1,13,C13,2024-01-15,2,2,2,1,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,1.5,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0
