teacher_id,competence_id,competence_code,ref_month,date_t,current_level_t3,current_level_t2,current_level_t1,current_level_t,lag_gap_t3_t2,lag_gap_t2_t1,lag_gap_t1_t,rolling_tendance,days_since_last_training,training_frequency_per_month,is_long_absent,is_stagnant,avg_level,min_level,max_level,nb_level_5,nb_level_1,nb_savoirs,nb_competences,competency_coverage_rate,nb_formations_completed,nb_formations_in_progress,taux_assiduite,nb_besoins_exprimes,nb_besoins_approuves,avg_eval_score,nb_evaluations,months_since_last_training,engagement_score,gap_next_3m,source_type,source_id,is_synthetic,created_at,dataset_version
ENS_T03,8,C8,2016-03-01,2016-03-01,5,5,5,4,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,4.5,4.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.3333333333333335,postgresql_d2f,407,False,2016-03-01,v1.1.0
ENS_T03,11,C11,2019-06-01,2019-06-01,4,4,4,3,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.0,postgresql_d2f,409,False,2019-06-01,v1.1.0
ENS042,4,C4,2021-01-25,2021-01-25,3,3,3,3,0,0,0,0.0,365.0,0.0,1,0,3.0,3.0,3.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.0,postgresql_d2f,389,False,2021-01-25,v1.1.0
ENS042,1,C1,2021-03-22,2021-03-22,3,3,3,4,0,0,1,0.3333333333333333,365.0,0.0,1,0,3.3333333333333335,3.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.666666666666667,postgresql_d2f,382,False,2021-03-22,v1.1.0
ENS042,2,C2,2022-02-08,2022-02-08,3,3,3,4,0,0,1,0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.666666666666667,postgresql_d2f,385,False,2022-02-08,v1.1.0
ENS_T02,6,C6,2022-06-01,2022-06-01,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.6666666666666665,2.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.333333333333333,postgresql_d2f,402,False,2022-06-01,v1.1.0
ENS039,3,C3,2022-06-25,2022-06-25,3,3,3,3,0,0,0,0.0,225.0,0.1352888888888889,1,0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.391590013140604,2.0,2.0,postgresql_d2f,365,False,2022-06-25,v1.1.0
ENS042,3,C3,2022-09-30,2022-09-30,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.333333333333333,postgresql_d2f,387,False,2022-09-30,v1.1.0
ENS042,6,C6,2022-10-11,2022-10-11,4,4,4,3,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.3333333333333335,postgresql_d2f,391,False,2022-10-11,v1.1.0
ENS_T02,7,C7,2023-01-01,2023-01-01,2,2,2,2,0,0,0,0.0,365.0,0.0,1,0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.0,postgresql_d2f,403,False,2023-01-01,v1.1.0
