teacher_id,competence_id,competence_code,department_id,unit_id,ref_month,date_t,current_observation,knowledge_difficulty_level,required_level,gap_next_3m,current_level_t3,current_level_t2,current_level_t1,current_level_t,lag_gap_t3_t2,lag_gap_t2_t1,lag_gap_t1_t,rolling_tendance,days_since_last_training,training_frequency_per_month,is_long_absent,is_stagnant,avg_level,min_level,max_level,nb_level_5,nb_level_1,nb_savoirs,nb_competences,competency_coverage_rate,nb_formations_completed,nb_formations_in_progress,taux_assiduite,nb_besoins_exprimes,nb_besoins_approuves,avg_eval_score,nb_evaluations,months_since_last_training,engagement_score,attendance_rate,evaluation_score,training_count,stagnation_months,need_count,source_type,source_id,data_origin,is_synthetic,institutional_verified,generation_seed,generator_version,dataset_version,created_at
SYN_T0002,1,C1,DEP_02,UP_02,2025-01,2025-01-31,2.19,2.0,4.0,1.116,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,7.0,0.538,0.0,0.0,0.646,1.0,0.0,1.76,1.0,13.0,0.336,0.646,1.76,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0002,7,C7,DEP_02,UP_02,2025-01,2025-01-31,1.91,2.0,4.0,2.116,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,2.0,2.0,2.0,0.0,0.0,5.0,7.0,0.538,0.0,0.0,0.631,1.0,0.0,1.76,1.0,13.0,0.457,0.631,1.76,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0002,9,C9,DEP_02,UP_02,2025-01,2025-01-31,2.05,1.0,3.0,0.921,2.0,2.0,2.0,1.0,0.0,0.0,-1.0,-0.333,999.0,0.0,0,0,1.75,1.0,2.0,0.0,1.0,3.0,7.0,0.538,0.0,1.0,0.623,1.0,1.0,1.76,1.0,13.0,0.497,0.623,1.76,0,0.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0004,5,C5,DEP_04,UP_04,2025-01,2025-01-31,3.38,3.0,5.0,1.037,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,4.0,4.0,4.0,0.0,0.0,3.0,7.0,0.538,0.0,1.0,0.497,1.0,0.0,2.607,1.0,13.0,0.459,0.497,2.607,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0005,10,C10,DEP_05,UP_05,2025-01,2025-01-31,3.76,2.0,4.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,5.0,5.0,5.0,4.0,0.0,4.0,8.0,0.615,0.0,0.0,0.343,0.0,0.0,1.436,1.0,13.0,0.349,0.343,1.436,0,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0008,4,C4,DEP_03,UP_08,2025-01,2025-01-31,3.16,2.0,4.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0,1.0,0.333,0.0,0.25,0,0,3.25,3.0,4.0,0.0,0.0,2.0,8.0,0.615,1.0,0.0,0.522,0.0,0.0,2.084,1.0,0.0,0.784,0.522,2.084,1,0.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0009,6,C6,DEP_04,UP_09,2025-01,2025-01-31,1.6,1.0,3.0,1.029,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,2.0,2.0,2.0,0.0,0.0,4.0,7.0,0.538,0.0,0.0,0.899,1.0,0.0,2.793,1.0,13.0,0.641,0.899,2.793,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0010,1,C1,DEP_05,UP_10,2025-01,2025-01-31,2.44,2.0,4.0,1.849,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,3.0,3.0,3.0,0.0,0.0,3.0,7.0,0.538,0.0,0.0,0.329,1.0,1.0,2.5,1.0,13.0,0.309,0.329,2.5,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0011,3,C3,DEP_01,UP_11,2025-01,2025-01-31,2.33,1.0,3.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.333,0.0,0.25,0,0,2.5,2.0,3.0,0.0,0.0,5.0,8.0,0.615,1.0,1.0,0.957,0.0,0.0,2.789,1.0,0.0,0.933,0.957,2.789,1,1.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0012,5,C5,DEP_02,UP_12,2025-01,2025-01-31,3.08,3.0,5.0,2.167,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1,3.0,3.0,3.0,0.0,0.0,3.0,7.0,0.538,1.0,0.0,0.56,1.0,1.0,3.087,1.0,0.0,0.786,0.56,3.087,1,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0012,12,C12,DEP_02,UP_12,2025-01,2025-01-31,1.4,1.0,3.0,1.919,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,1.0,1.0,1.0,0.0,4.0,2.0,7.0,0.538,0.0,1.0,0.599,1.0,0.0,3.087,1.0,13.0,0.542,0.599,3.087,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0013,11,C11,DEP_03,UP_01,2025-01,2025-01-31,2.9,3.0,5.0,2.03,4.0,3.0,3.0,3.0,-1.0,0.0,0.0,-0.333,999.0,0.0,0,0,3.25,3.0,4.0,0.0,0.0,5.0,7.0,0.538,0.0,0.0,0.604,1.0,1.0,3.019,1.0,13.0,0.455,0.604,3.019,0,2.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0015,7,C7,DEP_05,UP_03,2025-01,2025-01-31,2.52,2.0,4.0,0.876,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,5.0,8.0,0.615,0.0,0.0,0.594,1.0,0.0,2.795,1.0,13.0,0.46,0.594,2.795,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0018,6,C6,DEP_03,UP_06,2025-01,2025-01-31,2.42,1.0,3.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.333,0.0,0.25,0,0,2.5,2.0,3.0,0.0,0.0,4.0,6.0,0.462,1.0,1.0,0.664,0.0,0.0,1.618,1.0,0.0,0.836,0.664,1.618,1,1.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
