record_type,source_id,target_system,status,details
teacher,ENS001,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS002,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS003,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS004,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS005,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS006,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS007,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS008,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS009,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS010,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS011,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS012,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS013,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS014,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS015,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS016,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS017,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS018,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS019,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS020,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS021,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS022,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS023,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS024,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS025,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS026,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS027,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS028,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS029,predictive_db,EXISTS,Primary key in enseignants table
teacher,ENS030,predictive_db,EXISTS,Primary key in enseignants table
teacher,T001,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T002,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T003,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T004,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T005,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T006,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T007,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T008,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T009,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T010,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T011,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T012,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T013,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T014,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T015,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T016,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T017,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T018,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T019,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T020,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
teacher,T021,master_csv,ORPHAN,No mapping to DB enseignants; different ID format
