teacher_id,formation_id,score_global,competence_id,n_gaps
T006,301,0.4143,1,8
T006,401,0.4143,4,8
T006,601,0.4143,6,8
T006,801,0.4143,7,8
T006,101,0.4143,2,8
T006,1201,0.4143,5,8
T007,301,0.4143,1,8
T007,401,0.4143,4,8
T007,601,0.4143,6,8
T007,801,0.4143,7,8
T007,101,0.4143,2,8
T007,1201,0.4143,5,8
T015,301,0.4143,1,8
T015,401,0.4143,4,8
T015,601,0.4143,6,8
T015,801,0.4143,7,8
T015,101,0.4143,2,8
T015,1201,0.4143,5,8
ENS001,101,0.7900,1,34
ENS001,201,0.7900,2,34
ENS001,301,0.7900,3,34
ENS002,101,0.7900,1,38
ENS002,201,0.7900,2,38
ENS002,301,0.7900,3,38
